feature,popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
popularity,1.0,0.08307949253113384,-0.036527025148521075,0.07826117154221761,-0.008656361976020838,-0.09135460852596165,-0.007006544035048606,-0.20743948448119906,-0.05805981357313489,0.005648785383917977,-0.019276260924482348
danceability,0.08307949253113384,1.0,0.10875626934146126,0.24261470786570447,-0.06253539580615435,0.10501657641460892,-0.1420557163112396,-0.17677069921399782,-0.13826222522112933,0.47998342506193487,-0.024158955026465194
energy,-0.036527025148521075,0.10875626934146126,1.0,0.7570192622352623,-0.07572908171554986,0.13626294177700332,-0.7215455763182109,-0.18190035603794996,0.1897169166804994,0.24194490475838837,0.25738805579063034
loudness,0.07826117154221761,0.24261470786570447,0.7570192622352623,1.0,-0.040295922811420706,0.04988562830381803,-0.5705998773578947,-0.4315722120672209,0.07933875800842272,0.2755214089910482,0.23149437998152134
mode,-0.008656361976020838,-0.06253539580615435,-0.07572908171554986,-0.040295922811420706,1.0,-0.03545154066818298,0.09172831323475555,-0.05153058294488246,0.020365077233503222,0.022712174966773486,-0.0040771727641509435
speechiness,-0.09135460852596165,0.10501657641460892,0.13626294177700332,0.04988562830381803,-0.03545154066818298,1.0,0.023130050761906034,-0.10809404349265876,0.23574511154788447,0.03216116096999247,-0.009190594503335288
acousticness,-0.007006544035048606,-0.1420557163112396,-0.7215455763182109,-0.5705998773578947,0.09172831323475555,0.023130050761906034,1.0,0.08514733686747339,-0.011472058512888846,-0.08311021054510967,-0.2175907450350592
instrumentalness,-0.20743948448119906,-0.17677069921399782,-0.18190035603794996,-0.4315722120672209,-0.05153058294488246,-0.10809404349265876,0.08514733686747339,1.0,-0.10080297588033758,-0.3258971758535192,-0.05540544431953405
liveness,-0.05805981357313489,-0.13826222522112933,0.1897169166804994,0.07933875800842272,0.020365077233503222,0.23574511154788447,-0.011472058512888846,-0.10080297588033758,1.0,0.014045051559569617,-0.010914007882060988
valence,0.005648785383917977,0.47998342506193487,0.24194490475838837,0.2755214089910482,0.022712174966773486,0.03216116096999247,-0.08311021054510967,-0.3258971758535192,0.014045051559569617,1.0,0.08835538976643445
tempo,-0.019276260924482348,-0.024158955026465194,0.25738805579063034,0.23149437998152134,-0.0040771727641509435,-0.009190594503335288,-0.2175907450350592,-0.05540544431953405,-0.010914007882060988,0.08835538976643445,1.0
